,User Defined Identifier,Instrument Name,RIC,Trade Date,Trade Time,Expiration Date,Period,Term,Volatility Surface Term,Risk Free Interest Rate,Open Implied Volatility,Last Implied Volatility,High Implied Volatility,Close Implied Volatility,Strike Price,Option Premium,Premium,General Value6,General Value7,Precision,Previous Close Date,Previous Close Price,Last Update Time,Instrument Snap Time,Asset Type Description,Contributor Short Name,Exchange Description,Currency Code,Embargo Times,Maximum Embargo Delay,Real Time Permitted
48,,CME BO 130% c3,1BO130Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,130%,1.3,37.53,37.49,37.85,37.59,102.87,0.36,0.38,79.73,79.13,2DP,05/11/2022,37.59,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
49,,CME BO 140% c3,1BO140Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,140%,1.3,38.72,38.71,39.09,38.82,110.78,0.15,0.16,79.73,79.13,2DP,05/11/2022,38.82,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
50,,CME BO 150% c3,1BO150Nc3=R,05/11/2022,22:52,07/22/2022,AUG2,AUG2,150%,1.3,39.81,39.83,40.52,39.95,118.7,0.06,0.07,79.73,79.13,2DP,05/11/2022,39.95,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
51,,CME BO 50% c4,1BO50Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,50%,1.51,41.32,42.13,42.72,41.3,38.56,0.0,0.0,77.86,77.11,2DP,05/11/2022,41.3,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
52,,CME BO 60% c4,1BO60Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,60%,1.51,38.0,38.48,39.07,37.99,46.27,0.03,0.03,77.86,77.11,2DP,05/11/2022,37.99,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
53,,CME BO 70% c4,1BO70Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,70%,1.51,35.1,35.18,35.93,35.1,53.98,0.14,0.14,77.86,77.11,2DP,05/11/2022,35.1,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
54,,CME BO 75% c4,1BO75Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,75%,1.51,33.86,33.71,34.6,33.87,57.83,0.29,0.31,77.86,77.11,2DP,05/11/2022,33.87,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
55,,CME BO 80% c4,1BO80Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,80%,1.51,32.91,32.51,33.51,32.93,61.69,0.58,0.62,77.86,77.11,2DP,05/11/2022,32.93,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
56,,CME BO 85% c4,1BO85Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,85%,1.51,32.46,31.98,32.94,32.47,65.54,1.13,1.2,77.86,77.11,2DP,05/11/2022,32.47,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
57,,CME BO 90% c4,1BO90Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,90%,1.51,32.57,32.2,32.75,32.56,69.4,2.1,2.19,77.86,77.11,2DP,05/11/2022,32.56,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
58,,CME BO 95% c4,1BO95Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,95%,1.51,33.0,32.72,33.05,32.98,73.25,3.56,3.66,77.86,77.11,2DP,05/11/2022,32.98,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
59,,CME BO 100% c4,1BO100Nc4O=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,100%,1.51,33.56,33.32,33.67,33.54,77.11,5.5,5.61,77.86,77.11,2DP,05/11/2022,33.54,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
60,,CME BO 105% c4,1BO105Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,105%,1.51,34.15,33.91,34.33,34.14,80.97,4.01,4.12,77.86,77.11,2DP,05/11/2022,34.14,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
61,,CME BO 110% c4,1BO110Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,110%,1.51,34.74,34.49,34.99,34.74,84.82,2.9,2.99,77.86,77.11,2DP,05/11/2022,34.74,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
62,,CME BO 115% c4,1BO115Nc4=R,05/11/2022,22:52,08/26/2022,SEP2,SEP2,115%,1.51,35.32,35.04,35.75,35.32,88.68,2.07,2.15,77.86,77.11,2DP,05/11/2022,35.32,05/12/2022 10:45:23,05/12/2022 11:00:00,Commodities,REUTERS,TRC (THOMSON REUTERS CONTRIBUTED DATA),USD,,0,Y
